model_name,model_path,prompt_profile,category,correct,total,accuracy
Qwen2.5-0.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-0.5B-Instruct,qwen_single_turn_8shot_chat,attribute_mismatch,247,1316,0.18768996960486323
Qwen2.5-0.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-0.5B-Instruct,qwen_single_turn_8shot_chat,independent_decoy,179,1314,0.13622526636225266
Qwen2.5-0.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-0.5B-Instruct,qwen_single_turn_8shot_chat,original,582,1319,0.44124336618650495
Qwen2.5-0.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-0.5B-Instruct,qwen_single_turn_8shot_chat,path_competition,228,1312,0.17378048780487804
Qwen2.5-0.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-0.5B-Instruct,qwen_single_turn_8shot_chat,target_scope_misalignment,203,1314,0.15449010654490106
Qwen2.5-1.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-1.5B-Instruct,qwen_single_turn_8shot_chat,attribute_mismatch,365,1316,0.2773556231003039
Qwen2.5-1.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-1.5B-Instruct,qwen_single_turn_8shot_chat,independent_decoy,275,1314,0.20928462709284626
Qwen2.5-1.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-1.5B-Instruct,qwen_single_turn_8shot_chat,original,706,1319,0.535253980288097
Qwen2.5-1.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-1.5B-Instruct,qwen_single_turn_8shot_chat,path_competition,320,1312,0.24390243902439024
Qwen2.5-1.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-1.5B-Instruct,qwen_single_turn_8shot_chat,target_scope_misalignment,259,1314,0.19710806697108066
Qwen2.5-Math-1.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-Math-1.5B-Instruct,qwen_single_turn_8shot_chat,attribute_mismatch,85,1316,0.06458966565349544
Qwen2.5-Math-1.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-Math-1.5B-Instruct,qwen_single_turn_8shot_chat,independent_decoy,84,1314,0.0639269406392694
Qwen2.5-Math-1.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-Math-1.5B-Instruct,qwen_single_turn_8shot_chat,original,154,1319,0.11675511751326763
Qwen2.5-Math-1.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-Math-1.5B-Instruct,qwen_single_turn_8shot_chat,path_competition,81,1312,0.06173780487804878
Qwen2.5-Math-1.5B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-Math-1.5B-Instruct,qwen_single_turn_8shot_chat,target_scope_misalignment,72,1314,0.0547945205479452
Qwen2.5-3B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-3B-Instruct,qwen_single_turn_8shot_chat,attribute_mismatch,649,1316,0.493161094224924
Qwen2.5-3B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-3B-Instruct,qwen_single_turn_8shot_chat,independent_decoy,537,1314,0.408675799086758
Qwen2.5-3B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-3B-Instruct,qwen_single_turn_8shot_chat,original,1090,1319,0.8263836239575436
Qwen2.5-3B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-3B-Instruct,qwen_single_turn_8shot_chat,path_competition,616,1312,0.4695121951219512
Qwen2.5-3B-Instruct,/home/wwq416/snap/wwq/model/Qwen/Qwen2.5-3B-Instruct,qwen_single_turn_8shot_chat,target_scope_misalignment,510,1314,0.3881278538812785
Llama-3.2-1B-Instruct,/home/wwq416/snap/wwq/model/llama/Llama-3.2-1B-Instruct,llama_lm_eval_multiturn_8shot_single_bos,attribute_mismatch,252,1316,0.19148936170212766
Llama-3.2-1B-Instruct,/home/wwq416/snap/wwq/model/llama/Llama-3.2-1B-Instruct,llama_lm_eval_multiturn_8shot_single_bos,independent_decoy,211,1314,0.16057838660578386
Llama-3.2-1B-Instruct,/home/wwq416/snap/wwq/model/llama/Llama-3.2-1B-Instruct,llama_lm_eval_multiturn_8shot_single_bos,original,603,1319,0.45716451857467777
Llama-3.2-1B-Instruct,/home/wwq416/snap/wwq/model/llama/Llama-3.2-1B-Instruct,llama_lm_eval_multiturn_8shot_single_bos,path_competition,261,1312,0.1989329268292683
Llama-3.2-1B-Instruct,/home/wwq416/snap/wwq/model/llama/Llama-3.2-1B-Instruct,llama_lm_eval_multiturn_8shot_single_bos,target_scope_misalignment,240,1314,0.182648401826484
